cellId,position,taskId,condition,repetition,runId,delivered,lifecycle,finalSha,stopReason,wallClockSeconds,attempts,repairs,criteriaTotal,criteriaSatisfied,criteriaCoverage,tokensTotal,usageReportedAttempts,usageMissingAttempts,failureModes,scopeViolations,formulaVersion,leafThreshold,leafCount,graphDepth,branchingFactor,coalescedUnits,resplitDeclined
g5-01-T1-A-r1,1,T1,A,1,deecf911-93af-487e-88c3-754d114dd11b,true,completed,4da942186d93875361696a5e790b7992141e64c9,,365,1,0,5,5,1,36540,1,0,,0,c-task/1.0.0+condA,10,1,0,0,0,0
g5-02-T2-B-r1,2,T2,B,1,1b876501-b49f-42ce-b043-e2855e78e7ab,false,failed,,,74,0,0,0,0,,,0,0,,0,,,,,,,0
g5-03-T1-C-r1,3,T1,C,1,71456fc9-a22a-4465-b5d7-8a322f0fa239,true,completed,6022dc80681c86af73635271e52b0dc9f29d9f39,,1269,4,1,15,15,1,173070,4,0,conflict,0,c-task/1.0.0,3.5,4,1,4,0,4
g5-04-T2-A-r1,4,T2,A,1,434d0349-16c4-4414-be57-388f7db2ce63,true,completed,a5d5b22f02918ca4de75fc6811bc81c828661c73,,384,1,0,5,5,1,31286,1,0,,0,c-task/1.0.0+condA,10,1,0,0,0,0
g5-05-T1-B-r1,5,T1,B,1,98b6105f-0456-4934-b2e9-12edd987c381,false,failed,,,96,0,0,0,0,,,0,0,,0,,,,,,,0
g5-06-T2-C-r1,6,T2,C,1,944ea15b-1b9e-4645-aacb-861c2b5681d1,true,completed,03a72af43f69f8c078542b5bc0bbc9456b66475e,,302,1,0,10,10,1,25975,1,0,,0,c-task/1.0.0,3.5,1,1,1,0,1
g5-07-T2-C-r2,7,T2,C,2,0889d2c8-2224-4927-bf35-f23feabb751c,false,waiting_for_input,,run parked on resolve_conflict,429,2,1,5,5,1,67702,2,0,validation_failed,0,c-task/1.0.0,3.5,2,1,2,0,1
g5-08-T1-B-r2,8,T1,B,2,f1393da1-a4d0-4e62-857d-8878fe51f39f,false,failed,,,96,0,0,0,0,,,0,0,,0,,,,,,,0
g5-09-T2-A-r2,9,T2,A,2,19852f7a-692f-404b-8fd7-3130a6d5bdc5,true,completed,5a2ffdad1e6a7699dbaca88ab352ec059b8eba62,,462,1,0,5,5,1,61816,1,0,,0,c-task/1.0.0+condA,10,1,0,0,0,0
g5-10-T1-C-r2,10,T1,C,2,38b69e58-388a-492d-a402-e12ff5f9da0c,false,planning,,planner asked for clarification: What exact category values should the fixed category set allow?,104,0,0,0,0,,,0,0,,0,,,,,,,0
g5-11-T2-B-r2,11,T2,B,2,eb0bd96d-f2e2-4f5f-b9ff-d645b0eaadf1,false,failed,,,82,0,0,0,0,,,0,0,,0,,,,,,,0
g5-12-T1-A-r2,12,T1,A,2,70c1b317-fe53-4ebf-9107-f96b0ba4253a,true,completed,ba961dfe3730790ff5d93d4b31620c07a7aecbfc,,312,1,0,5,5,1,38048,1,0,,0,c-task/1.0.0+condA,10,1,0,0,0,0
